Balbilla-nominative: http://127.0.0.1:9999/search/word.html?text_corpus=literature_verse&text_author=Balbilla&start=0&word_case=nominative,,,,,,,
γένεται,"εὐσέβεες γὰρ ἔμοι γένεται πάπποι τ’ ἐγένο̣ντο , Βάλβιλλός τ’ ὀ σόφος κ’ Ἀντίοχος βασίλευς , Βάλβιλλος γενέταις μᾶτρος βασιλήϊδος ἄμμας̣ , τῶ πάτε̣ρος δὲ πάτηρ Ἀντίοχος βασίλευς · [0] [1]",Balbilla2,6,"1ad
 2ad",masculine,plural,SBJ_CO
πάπποι,"εὐσέβεες γὰρ ἔμοι γένεται πάπποι τ’ ἐγένο̣ντο , Βάλβιλλός τ’ ὀ σόφος κ’ Ἀντίοχος βασίλευς , Βάλβιλλος γενέταις μᾶτρος βασιλήϊδος ἄμμας̣ , τῶ πάτε̣ρος δὲ πάτηρ Ἀντίοχος βασίλευς · [0] [1]",Balbilla2,6,"1ad
 2ad",masculine,plural,SBJ_CO
Βάλβιλλός,"εὐσέβεες γὰρ ἔμοι γένεται πάπποι τ’ ἐγένο̣ντο , Βάλβιλλός τ’ ὀ σόφος κ’ Ἀντίοχος βασίλευς , Βάλβιλλος γενέταις μᾶτρος βασιλήϊδος ἄμμας̣ , τῶ πάτε̣ρος δὲ πάτηρ Ἀντίοχος βασίλευς · [0] [1]",Balbilla2,6,"1ad
 2ad",masculine,singular,APOS_CO
σόφος,"εὐσέβεες γὰρ ἔμοι γένεται πάπποι τ’ ἐγένο̣ντο , Βάλβιλλός τ’ ὀ σόφος κ’ Ἀντίοχος βασίλευς , Βάλβιλλος γενέταις μᾶτρος βασιλήϊδος ἄμμας̣ , τῶ πάτε̣ρος δὲ πάτηρ Ἀντίοχος βασίλευς · [0] [1]",Balbilla2,6,"1ad
 2ad",masculine,singular,ATR
ὀ,"εὐσέβεες γὰρ ἔμοι γένεται πάπποι τ’ ἐγένο̣ντο , Βάλβιλλός τ’ ὀ σόφος κ’ Ἀντίοχος βασίλευς , Βάλβιλλος γενέταις μᾶτρος βασιλήϊδος ἄμμας̣ , τῶ πάτε̣ρος δὲ πάτηρ Ἀντίοχος βασίλευς · [0] [1]",Balbilla2,6,"1ad
 2ad",masculine,singular,ATR
Ἀντίοχος,"εὐσέβεες γὰρ ἔμοι γένεται πάπποι τ’ ἐγένο̣ντο , Βάλβιλλός τ’ ὀ σόφος κ’ Ἀντίοχος βασίλευς , Βάλβιλλος γενέταις μᾶτρος βασιλήϊδος ἄμμας̣ , τῶ πάτε̣ρος δὲ πάτηρ Ἀντίοχος βασίλευς · [0] [1]",Balbilla2,6,"1ad
 2ad",masculine,singular,APOS_CO
βασίλευς,"εὐσέβεες γὰρ ἔμοι γένεται πάπποι τ’ ἐγένο̣ντο , Βάλβιλλός τ’ ὀ σόφος κ’ Ἀντίοχος βασίλευς , Βάλβιλλος γενέταις μᾶτρος βασιλήϊδος ἄμμας̣ , τῶ πάτε̣ρος δὲ πάτηρ Ἀντίοχος βασίλευς · [0] [1]",Balbilla2,6,"1ad
 2ad",masculine,singular,ATR
Βάλβιλλος,"εὐσέβεες γὰρ ἔμοι γένεται πάπποι τ’ ἐγένο̣ντο , Βάλβιλλός τ’ ὀ σόφος κ’ Ἀντίοχος βασίλευς , Βάλβιλλος γενέταις μᾶτρος βασιλήϊδος ἄμμας̣ , τῶ πάτε̣ρος δὲ πάτηρ Ἀντίοχος βασίλευς · [0] [1]",Balbilla2,6,"1ad
 2ad",masculine,singular,SBJ
γενέταις,"εὐσέβεες γὰρ ἔμοι γένεται πάπποι τ’ ἐγένο̣ντο , Βάλβιλλός τ’ ὀ σόφος κ’ Ἀντίοχος βασίλευς , Βάλβιλλος γενέταις μᾶτρος βασιλήϊδος ἄμμας̣ , τῶ πάτε̣ρος δὲ πάτηρ Ἀντίοχος βασίλευς · [0] [1]",Balbilla2,6,"1ad
 2ad",masculine,singular,PNOM
πάτηρ,"εὐσέβεες γὰρ ἔμοι γένεται πάπποι τ’ ἐγένο̣ντο , Βάλβιλλός τ’ ὀ σόφος κ’ Ἀντίοχος βασίλευς , Βάλβιλλος γενέταις μᾶτρος βασιλήϊδος ἄμμας̣ , τῶ πάτε̣ρος δὲ πάτηρ Ἀντίοχος βασίλευς · [0] [1]",Balbilla2,6,"1ad
 2ad",masculine,singular,PNOM
